,Variable1,Variable2,P Value,Significance,Fraction of Permutations produce at least this high a correlation
35,GDP (purchasing power parity),Stock of domestic credit,0.0,0.0,0.0
36,Telephones - fixed lines,Carbon dioxide emissions from consumption of energy,0.0,0.0,0.0
37,Broadband - fixed subscriptions,Electricity - consumption,0.0,0.0,0.0
38,Internet users,GDP (purchasing power parity),0.0,0.0,0.0
39,Broadband - fixed subscriptions,Electricity - production,0.0,0.0,0.0
40,Stock of narrow money,Stock of domestic credit,0.0,0.0,0.0
41,Stock of broad money,Stock of domestic credit,0.0,0.0,0.0
42,GDP (purchasing power parity),Refined petroleum products - consumption,0.0,0.0,0.0
43,Stock of domestic credit,Imports,0.0,0.0,0.0
44,Telephones - fixed lines,Broadband - fixed subscriptions,0.0,0.0,0.0
45,Market value of publicly traded shares,Refined petroleum products - consumption,0.0,0.0,0.0
46,Internet users,Electricity - installed generating capacity,0.0,0.0,0.0
47,Imports,Crude oil - imports,0.0,0.0,0.0
48,GDP (purchasing power parity),Crude oil - imports,0.0,0.0,0.0
49,GDP (purchasing power parity),Roadways,0.0,0.0,0.0
50,Telephones - fixed lines,Exports,0.0,0.0,0.0
51,Internet users,Electricity - production,0.0,0.0,0.0
52,GDP (purchasing power parity),Imports,0.0,0.0,0.0
53,Median age,Birth rate,1.0,100.0,0.9999
54,Imports,Refined petroleum products - consumption,0.0,0.0,0.0
55,Market value of publicly traded shares,Refined petroleum products - production,0.0,0.0,0.0
56,Telephones - fixed lines,Imports,0.0,0.0,0.0
57,Refined petroleum products - consumption,Roadways,0.0,0.0,0.0
58,Market value of publicly traded shares,Railways,0.0,0.0,0.0
59,Crude oil - imports,Refined petroleum products - consumption,0.0,0.0,0.0
60,Electricity - production,Refined petroleum products - consumption,0.0,0.0,0.0
61,Electricity - consumption,Refined petroleum products - consumption,0.0,0.0,0.0
62,Internet users,Electricity - consumption,0.0002,0.02,0.0001
63,Stock of domestic credit,Crude oil - imports,0.0,0.0,0.0
64,Refined petroleum products - production,Natural gas - consumption,0.0,0.0,0.0
65,Refined petroleum products - production,Roadways,0.0,0.0,0.0
66,Internet users,Broadband - fixed subscriptions,0.0,0.0,0.0
67,GDP (purchasing power parity),Refined petroleum products - production,0.0,0.0,0.0
68,Crude oil - imports,Refined petroleum products - production,0.0,0.0,0.0
69,Stock of domestic credit,Carbon dioxide emissions from consumption of energy,0.0,0.0,0.0
70,Electricity - installed generating capacity,Refined petroleum products - consumption,0.0002,0.02,0.0001
71,Imports,Electricity - consumption,0.0,0.0,0.0
72,Imports,Electricity - installed generating capacity,0.0,0.0,0.0
73,Railways,Roadways,0.0,0.0,0.0
74,Stock of domestic credit,Exports,0.0,0.0,0.0
75,Imports,Electricity - production,0.0,0.0,0.0
76,Natural gas - consumption,Railways,0.0,0.0,0.0
77,Broadband - fixed subscriptions,GDP (purchasing power parity),0.0,0.0,0.0
78,Electricity - production,Crude oil - imports,0.0001,0.01,0.0
79,Crude oil - imports,Roadways,0.0,0.0,0.0
80,Telephones - fixed lines,Stock of broad money,0.0,0.0,0.0
81,Telephones - fixed lines,Stock of narrow money,0.0,0.0,0.0
82,Electricity - consumption,Crude oil - imports,0.0007,0.06999999999999999,0.0006
83,Electricity - production,Refined petroleum products - production,0.0002,0.02,0.0001
84,Electricity - consumption,Refined petroleum products - production,0.0008,0.08,0.0007
85,Electricity - installed generating capacity,Crude oil - imports,0.0003,0.03,0.00019999999999999998
86,Imports,Refined petroleum products - production,0.0,0.0,0.0
87,Market value of publicly traded shares,Airports,0.0,0.0,0.0
88,Telephones - fixed lines,Internet users,0.0,0.0,0.0
89,Stock of domestic credit,Refined petroleum products - consumption,0.0,0.0,0.0
90,Current account balance,Imports,0.0,0.0,0.0
91,Broadband - fixed subscriptions,Reserves of foreign exchange and gold,0.0,0.0,0.0
92,Broadband - fixed subscriptions,Stock of domestic credit,0.0,0.0,0.0
93,Electricity - production,Roadways,0.0003,0.03,0.00019999999999999998
94,Infant mortality rate,Life expectancy at birth,1.0,100.0,0.9999
95,Exports,Electricity - installed generating capacity,0.0,0.0,0.0
96,GDP (purchasing power parity),Exports,0.0,0.0,0.0
97,Labor force,Carbon dioxide emissions from consumption of energy,0.0006,0.06,0.0004999999999999999
98,Electricity - installed generating capacity,Refined petroleum products - production,0.0007,0.06999999999999999,0.0006
99,Electricity - consumption,Roadways,0.0012,0.12,0.0010999999999999998
