Topic,TimeQueried,Video_Title,Video_ID,Published_At,duration,viewCount,likeCount,dislikeCount,favoriteCount,score,commentCount,defaultAudioLanguage
graph theory lectures,Thu Aug 20 02:38:11 2020,Graph Theory Solved Examples | Gate Previous year Questions | Discrete Mathematics GATE Lectures,LHAloMlxIXY,2018-12-07T13:30:00Z,23:32,5329,127,7,0,,17,en
graph theory lectures,Thu Aug 20 02:38:12 2020,Spectral Graph Theory (Lecture 2) by Hemant Bhate,rz8F80Nmy1A,2019-05-22T07:25:40Z,1:27:53,76,0,0,0,,0,en
graph theory lectures,Thu Aug 20 02:38:12 2020,Lecture-3#Discrete Structure#Graph Theory,MQLlTIpY1og,2019-09-20T02:13:00Z,52:42,691,18,0,0,,15,en
graph theory lectures,Thu Aug 20 02:38:13 2020,6.12 Finding All Bridges(cut edge) in a Graph | Data structures and algorithms,CsGP_s_3GWg,2019-03-09T18:03:31Z,20:55,16693,390,17,0,,55,en
graph theory lectures,Thu Aug 20 02:38:13 2020,Planar Graph Example in Hindi | Planar Graph in Graph Theory | planar graph in discrete mathematics,UpBXUGwLMwY,2019-01-17T11:30:00Z,13:23,4451,90,3,0,,8,en
graph theory lectures,Thu Aug 20 02:38:13 2020,Arumugam - online course - graph theory,B-AJer-JV2k,2017-10-07T14:40:51Z,3:44,2409,50,0,0,,7,en
graph theory lectures,Thu Aug 20 02:38:14 2020,Graph Theory 02 Handshaking Lemma | Complete Graph | Bipartite Graph | discrete mathematics lectures,BN5Qp8PZSJE,2017-11-15T01:48:38Z,24:0,990,8,1,0,,0,en
graph theory lectures,Thu Aug 20 02:38:14 2020,Spectral Graph Theory: The Quadratic Form || @ CMU || Lecture 13a of CS Theory Toolkit,gwxuipf-9IQ,2020-04-24T12:00:23Z,22:24,799,20,0,0,,1,en
graph theory lectures,Thu Aug 20 02:38:15 2020,Minimum Degree and Maximum Degree of a graph in Graph Theory in HINDI | discrete Mathematics GATE,1AWRMGM3Yiw,2018-07-27T06:30:02Z,15:23,4182,61,13,0,,3,en
graph theory lectures,Thu Aug 20 02:38:15 2020,Number of simple Graph possible with n vertices in HINDI | Graph Theory | Discrete Mathematics GATE,WhUyeAJk2Q4,2018-07-30T09:30:00Z,17:55,3707,86,4,0,,3,en
graph theory lectures,Thu Aug 20 02:38:16 2020,DM-36-Graph theory - Sample Problems on Basics,8_Jd5YdyvU0,2017-05-16T15:41:49Z,8:15,11398,80,0,0,,4,en
graph theory lectures,Thu Aug 20 02:38:16 2020,6.11 Connected Components: how to find connected components in graph | Graph Theory,9esCn0awd5k,2019-02-16T11:43:30Z,20:37,38434,577,26,0,,57,en
graph theory lectures,Thu Aug 20 02:38:17 2020,L06 : Dijkstra&#39;s Algorithm | Graph Theory Course Part 2,CLnpzCnSDSY,2020-03-30T12:18:05Z,17:30,2907,130,2,0,,18,en
graph theory lectures,Thu Aug 20 02:38:17 2020,Oxford Mathematics 2nd Year Online Student Lecture - Graph Theory: Shortest Paths,Q9vckauJW_0,2020-05-07T14:43:20Z,46:28,7794,216,1,0,,18,en
graph theory lectures,Thu Aug 20 02:38:17 2020,Spectral Graph Theory: conductance and Sparsest-Cut || @ CMU || Lecture 15b of CS Theory Toolkit,e50MmIM345E,2020-05-01T12:00:30Z,18:4,241,3,0,0,,0,en
graph theory lectures,Thu Aug 20 02:38:18 2020,"Define Walk , Trail , Circuit , Path and Cycle in a GRAPH | Graph Theory #9",54ZIFRR9coA,2019-01-05T17:16:11Z,9:13,42434,924,44,0,,96,en
graph theory lectures,Thu Aug 20 02:38:18 2020,Lecture 61: Graph Theory Applied to Network Analysis - III,WmMpDnwaQ98,2020-08-10T06:00:55Z,34:32,961,10,0,0,,0,en
graph theory lectures,Thu Aug 20 02:38:19 2020,Lecture 64: Mesh Analysis with Graph Theory,Hef4M8lVZfY,2020-08-10T06:01:13Z,38:43,883,3,0,0,,0,en
