Topic,Video_Title,Video_ID,Published_At,duration,viewCount,likeCount,dislikeCount,favoriteCount
data science lectures,Predictive Modelling Techniques | Data Science With R Tutorial,0gf5iLTbiQM,2015-09-14T13:41:14Z,3:10:36,238118,1187,70,0
data science lectures,"Big Data, the Science of Learning, Analytics, and Transformation of Education",cYqs0Ei2tFo,2016-03-22T19:43:53Z,20:30,14812,165,1,0
data science lectures,Big Data Analytics| ACCA Exam | ACCA SBL Lectures| ACCA APM Lectures| 3V&#39;s in Big Data|,LDipBzaRAAM,2020-05-31T18:30:02Z,16:2,106,3,0,0
data science lectures,K-Means Clustering Algorithm - Cluster Analysis | Machine Learning Algorithm | Data Science |Edureka,4R8nWDh-wA0,2017-03-01T05:50:18Z,50:19,101847,654,51,0
data science lectures,Artificial Intelligence Full Course | Artificial Intelligence Tutorial for Beginners | Edureka,JMUxmLyrhSk,2019-06-02T08:53:49Z,4:52:51,1041810,23051,411,0
data science lectures,"Data Science - Part XII - Ridge Regression, LASSO, and Elastic Nets",ipb2MhSRGdw,2015-02-11T20:20:50Z,1:4:53,84898,825,22,0
data science lectures,"Ali Ghodsi, Lec 1: Principal Component Analysis",L-pQtGm3VS8,2017-01-23T20:41:53Z,1:11:42,56861,774,12,0
data science lectures,Data Science - Part XVII - Deep Learning &amp; Image Processing,U89BmApmnE8,2015-07-01T10:29:56Z,2:8:50,20021,148,1,0
data science lectures,Lectures on Matrix computation in data science (6.5.2018) - Part 2,juhEwuRGjqg,2018-05-07T07:08:13Z,1:0:35,349,1,0,0
data science lectures,Decision Tree Algorithm &amp; Analysis | Machine Learning Algorithm | Data Science Training | Edureka,opQ49Xr748k,2017-03-23T04:33:22Z,1:21:31,86214,692,42,0
data science lectures,Lecture: &quot;Data Science: The End of Theory?&quot; by David Donoho,PekBM76z2qE,2018-10-02T08:24:41Z,1:51:1,4404,68,0,0
data science lectures,Statistics full Course for Beginner | Statistics for Data Science,74oUwKezFho,2019-03-30T13:46:28Z,8:15:2,378299,10083,133,0
data science lectures,Ravi Kannan -- Foundations of Data Science,eo2CSgmfO2I,2014-04-03T15:38:48Z,1:10:33,8444,54,0,0
data science lectures,Develop a Data Science Project | Solving a Data Science Problem | Data Science Tutorial | Edureka,VuzXviaNdjk,2015-03-09T09:45:59Z,54:35,47519,379,34,0
data science lectures,Data Science - Part IX -  Support Vector Machine,fMWjhQ2UcNs,2015-01-26T18:54:01Z,31:14,12015,67,0,0
data science lectures,Lectures on Matrix computation in data science (6.5.2018) - Part 1,zgkq5j8ErGs,2018-05-07T06:13:51Z,36:58,635,7,0,0
data science lectures,Python Variables-Python For Data Science||Data Science For Begginers||Philodiscite,ubWQAxfulzQ,2020-08-14T19:41:43Z,2:20,57,12,0,0
data science lectures,Introduction to Big Data Analytics : A Webinar,3SK9iJNYehg,2014-05-19T07:43:53Z,1:4:9,113057,359,37,0
data science lectures,Advanced data science lecture 12,ObagtbCKLz0,2019-04-10T02:00:23Z,43:43,19,1,0,0
data science lectures,Big Data Analytics Lectures | Euclidean Distance  with Solved Example in Hindi,yM2JbjM2-kU,2018-04-12T13:22:40Z,7:36,21078,177,20,0
data science lectures,Introduction to Online Experimentation and A/B Testing,SenRDCwBjdo,2017-01-12T00:40:16Z,2:28:52,5325,58,4,0
data science lectures,Data Science for Social Good Data Fest 2018 - Introduction,X1hs4aoTQ6c,2018-09-04T18:45:56Z,16:15,886,7,1,0
data science lectures,Introduction to Clustering,4cxVDUybHrI,2019-03-13T19:27:05Z,5:13,21006,431,15,0
data science lectures,Machine Learning Course,uJktVpvYhNQ,2018-08-31T04:42:04Z,22:26,114260,2875,114,0
data science lectures,"COVID-19 | Coronavirus: Epidemiology, Pathophysiology, Diagnostics",PWzbArPgo-o,2020-03-16T20:00:33Z,50:39,4903065,84452,2823,0
data science lectures,Data Science @Stanford Trevor Hastie 10/21/2015,zBk3PK3g-Fc,2015-11-05T21:02:36Z,59:0,29977,371,6,0
data science lectures,Microsoft Data Science Curriculum | Microsoft on edX,NIYdmJ3PNLI,2016-05-13T21:38:24Z,1:51,16277,106,4,0
data science lectures,Big Data Analytics Lectures | Introduction to Hadoop  in Hindi| Part 1,jijK6GiU528,2018-02-22T15:22:57Z,10:1,50232,532,42,0
data science lectures,Learn Data @ Bash Shell - Data Science for Beginners (Course Introduction),rJXjibRPfzM,2017-10-02T02:50:02Z,2:0,315,,,0
data science lectures,Advanced data science lecture 18,kJE5iHAvdwY,2019-05-08T10:01:26Z,43:15,22,1,0,0
data science lectures,Data Structures &amp; Algorithms #1 - What Are Data Structures?,bum_19loj9A,2018-03-12T05:19:30Z,16:35,1197642,23268,386,0
data science lectures,Data Analytics: Week 3 : Data Preprocessing,2e4fgSgn64Q,2016-04-01T07:52:40Z,1:16:5,25976,221,8,0
data science lectures,Data Analytics for Beginners | Introduction to Data Analytics | Data Analytics Tutorial,THODdNXOjRw,2017-04-06T16:14:43Z,1:27:18,335919,2063,186,0
data science lectures,Introduction to Data Science with R,Fa9gghVBlk4,2014-11-03T19:13:01Z,2:7,14881,42,2,0
data science lectures,"Time Series Forecasting Theory | AR, MA, ARMA, ARIMA | Data Science",Aw77aMLj9uM,2016-02-06T23:50:30Z,53:14,545744,4206,371,0
data science lectures,Difference between Data Warehouse and Data Mining - DWDM Lectures,xkrN5d7jcB0,2019-08-22T13:42:10Z,4:59,10714,110,7,0
data science lectures,Quantitative Data Analysis for Undergraduate Students - Lecture 01/06,r6yhQ9KlnEw,2020-08-08T22:25:25Z,1:13:21,1396,67,1,0
data science lectures,Session 1 Lecture - Data Science &amp; Structural Biology Course - 02/23/2016,ENQe0w-IgXY,2016-02-24T20:07:50Z,1:14:57,1847,14,0,0
data science lectures,Lecture - 1 Introduction to Data Structures and Algorithms,zWg7U0OEAoE,2008-09-24T08:46:22Z,53:31,1836346,5173,242,0
data science lectures,Data Integrity| Entity Integrity| Referential Integrity| ICS Part-2 Computer Science Lectures,nIZfjA0pKH0,2020-08-06T18:53:23Z,8:35,295,40,0,0
data science lectures,Theory of Science Foundations - Lecture 1- Introduction,jN02T2UK_fY,2020-08-15T16:00:09Z,40:13,1874,154,6,0
data science lectures,01 Data Analytics: Statistics,OEvELm66NNo,2018-09-11T17:49:22Z,42:33,14573,173,0,0
data science lectures,Class - 9 Data Science Training | Time Series Analysis Tutorial For Beginners | Edureka,w_WfXFrLowc,2019-10-22T15:49:00Z,1:5:21,4375,79,3,0
data science lectures,Data Science and AI in Pharma and Healthcare (CXOTalk #275),Mjw7HOLLTY4,2018-02-04T19:36:55Z,45:16,9852,86,2,0
data science lectures,04/17/17 Data Science for Kaggle Decal Lecture 18: Unsupervised Learning,ngfRocIIM48,2017-04-18T04:10:14Z,59:4,104,0,0,0
data science lectures,Data Mining | Tutorial for Beginners [Part 1] | Intro to Big Data | Great Learning,bz0N-WP2FQE,2019-01-30T09:26:53Z,14:39,7827,51,6,0
data science lectures,Statistics for Data Science 2018 Part 1 | Statistics Tutorial For Beginners | Data Science Tutorial,c27EwKNIanQ,2018-05-18T14:21:49Z,1:19:3,133051,1872,67,0
data science lectures,DATA MINING | WHY AND WHAT OF DATA MINING| DATA MINING LECTURES,0Q7j7sv4rns,2019-06-14T10:12:02Z,7:54,12931,151,8,0
data science lectures,Statistical data analysis | Statistical Data Science | Part 1,dVEdViOurR0,2019-09-29T13:37:32Z,3:40:37,16965,476,4,0
data science lectures,Statistics &amp; Probability in Data Science | Data Science Tutorial | Intellipaat,hjljlbSVgPE,2017-09-16T09:29:30Z,23:32,4805,26,10,0
data science lectures,Lectures on Matrix computation in data science (7.5.2018) - Part 2,VIAVIzVVwVk,2018-05-08T07:37:05Z,48:53,166,0,0,0
data science lectures,DATA &amp; ANALYTICS - IoT - from small data to big data: Building solutions with connected devices,8NbP07OEGsQ,2016-03-29T00:07:55Z,34:27,22751,198,7,0
data science lectures,Market Basket Analysis | Association Rules | R Programming | Data Prediction Algorithm,E2q-aCbpefo,2017-03-19T06:14:20Z,10:37,18942,109,18,0
data science lectures,Python for Data Science - Lecture 9,LIZm4CHgvL8,2019-11-20T15:34:48Z,1:23:3,18,2,0,0
data science lectures,DATA &amp; ANALYTICS - IoT - from small data to big data: Building solutions with connected devices,8NbP07OEGsQ,2016-03-29T00:07:55Z,34:27,22751,198,7,0
data science lectures,Market Basket Analysis | Association Rules | R Programming | Data Prediction Algorithm,E2q-aCbpefo,2017-03-19T06:14:20Z,10:37,18942,109,18,0
data science lectures,Market Basket Analysis | Association Rules Mining | Data Mining Lectures,sVFmbBOXo7A,2019-06-12T12:31:04Z,5:24,3322,62,4,0
data science lectures,Data Cleaning Process Steps / Phases [Data Mining] Easiest Explanation Ever (Hindi),p8pdxLU1zMI,2018-08-22T11:05:26Z,4:26,68390,1626,32,0
data science lectures,Introduction to Data Mining,bXbyty4ll5o,2018-08-31T03:10:16Z,7:18,12423,84,6,0
data science lectures,Data Science in Hindi,qcqT5SqE8BY,2019-02-25T12:30:02Z,9:46,250222,9861,327,0
data science lectures,SAS Tutorials For Beginners | SAS Training | SAS Tutorial For Data Analysis | Edureka,JPATJfQNSlQ,2017-06-08T14:47:36Z,57:36,98159,651,33,0
data science lectures,How I got Google Cloud Professional Data Engineer Certified,bedzsHNSKnA,2019-04-27T12:20:52Z,20:0,196849,4185,157,0
data science lectures,Causal Inference,NzBTnzWiQno,2017-03-24T18:29:17Z,1:2:11,4472,53,2,0
data science lectures,Python Tutorial For Beginners | Python Full Course From Scratch | Python Programming | Edureka,vaysJAMDaZw,2019-03-10T10:04:09Z,7:13:34,848006,13999,290,0
data science lectures,CMPS 360 Data Science | S20 | Session 2 | Causality,NezROO5I0aQ,2020-01-17T16:30:00Z,52:22,717,15,0,0
data science lectures,Big Data Analytics | Tutorial #27 | Page Rank Computation (Solved Problem),qvy3YnrIWns,2017-05-20T13:05:39Z,9:10,25499,275,32,0
data science lectures,Data Science Part 1,awRW5v5eK9I,2020-03-31T12:57:22Z,13:59,99,3,0,0
data science lectures,Business Data Analysis with Excel,iO0KpDc0-30,2017-03-09T04:40:16Z,1:46:44,67455,577,41,0
data science lectures,Python Tutorial - Python for Beginners [Full Course],_uQrJ0TkZlc,2019-02-18T15:00:08Z,6:14:7,12326689,385950,3015,0
data science lectures,Introduction to the Confusion Matrix in Classification,wpp3VfzgNcI,2019-01-28T10:00:06Z,3:54,8117,217,7,0
data science lectures,Data Science Workflows using Docker Containers,oO8n3y23b6M,2017-11-15T02:09:06Z,32:10,25872,503,4,0
data science lectures,Christmas Lectures 2019: How to Bend the Rules - Hannah Fry,TtisQ9yZ2zo,2020-02-10T17:29:49Z,59:16,60945,1712,60,0
data science lectures,Session 3 Lecture - Data Science &amp; Structural Biology Course - 03/08/2016,MTGnkIbACAI,2016-03-09T13:43:28Z,1:15:19,178,3,0,0
data science lectures,Random Variables and Probability Distributions,WSANiPbatHc,2015-07-07T11:03:38Z,23:38,58329,204,6,0
data science lectures,Logistic Regression in Python | Logistic Regression Example | Machine Learning Algorithms | Edureka,VCJdg7YBbAQ,2018-05-29T13:51:28Z,53:41,197566,2794,95,0
data science lectures,Lecture 1.3 — What is data? — [AI For Everyone | Andrew Ng],LiKUBqd_TWE,2019-03-04T03:05:31Z,11:7,5150,31,0,0
data science lectures,Microsoft Excel Tutorial for Beginners | Excel Training | Excel Formulas and Functions | Edureka,RdTozKPY_OQ,2019-03-24T09:27:34Z,4:24:17,1494828,23732,524,0
data science lectures,Signal Processing in Financial Applications | Dr Tuncer Aysal | Big Data Analytics Conference 2015,_BjoMt5o4jk,2015-09-29T10:00:18Z,24:23,3560,43,3,0
data science lectures,ARIMA in Python - Time Series Forecasting Part 2 - Datamites Data Science Projects,D9y6dcy0xK8,2018-09-28T08:43:52Z,38:21,69717,1108,37,0
data science lectures,Lecture 0 - Course Administration,78dUCOF9zxE,2017-02-23T20:58:27Z,44:15,13334,96,0,0
data science lectures,"Tutorial 31- Hypothesis Test, Type 1 Error, Type 2 Error",Y3QzLIBp64M,2020-01-06T18:19:05Z,11:45,30369,738,22,0
data science lectures,"Importing , Checking and Working with Data in R | R Tutorial 1.7 | MarinStatsLectures",U4-RnTW5dfw,2013-08-08T09:31:54Z,8:46,394196,1681,28,0
data science lectures,Data Mining using R | Data Mining Tutorial for Beginners | R Tutorial for Beginners | Edureka,BB2O4VCu5j8,2017-11-08T14:23:20Z,36:36,129054,1264,50,0
data science lectures,Data mining tool | Rapid Miner Introduction and installation | Data Mining Lectures,EohJcWdDfQw,2020-07-06T11:33:25Z,4:40,69,4,0,0
data science lectures,Big Data Analytics Tutorial | Big Data Analytics for Beginners | Hadoop Tutorial | Edureka,aRReF-lvyPQ,2017-02-27T05:47:42Z,39:44,28598,152,15,0
data science lectures,Naive Bayes Classifier Tutorial | Naive Bayes Classifier Example | Naive Bayes in R | Edureka,psHrcSacU9Y,2017-05-29T06:18:18Z,1:4:6,65835,513,28,0
data science lectures,Probability: Types of Distributions,b9a27XN_6tg,2019-03-18T10:30:52Z,7:24,45837,1117,26,0
